Date,User,Tweet,text,tokenize_text,polarity,sentiment
2014-05-12 12:55:25+00:00,narendramodi,Today once again India has won! The power of the ballot has won &amp; spirit of democracy has emerged supreme. My Blog http://t.co/uTexNQPMn1,today once again india has won the power of the ballot has won amp spirit of democracy has emerged supreme my blog,today india power ballot amp spirit democracy emerged supreme blog,0.0,positive
2014-05-12 12:54:39+00:00,narendramodi,"Due to social media, lies &amp; false promises of several leaders could not go beyond the podiums of their rallies! More power to social media.",due to social media lies amp false promises of several leaders could not go beyond the podiums of their rallies more power to social media,due social medium lie amp false promise several leader could go beyond podium rally power social medium,-0.0916666666666666,negative
2014-05-12 12:54:19+00:00,narendramodi,Wherever I went it was a delight to interact with local people. Social media also helped me understand their sentiments.,wherever i went it was a delight to interact with local people social media also helped me understand their sentiments,wherever went delight interact local people social medium also helped understand sentiment,0.0166666666666666,positive
2014-05-12 12:53:51+00:00,narendramodi,NDA remained firmly focussed on the agenda of development &amp; good governance &amp; ensured this became focal points of the entire campaign.,nda remained firmly focussed on the agenda of development amp good governance amp ensured this became focal points of the entire campaign,nda remained firmly focussed agenda development amp good governance amp ensured became focal point entire campaign,0.1666666666666666,positive
2014-05-12 12:53:13+00:00,narendramodi,"Usually ruling Party sets agenda of the election but in this campaign ruling party was neither proactive nor responsive,it remained reactive",usually ruling party sets agenda of the election but in this campaign ruling party was neither proactive not responsive remained reactive,usually ruling party set agenda election campaign ruling party neither proactive responsive remained reactive,-0.25,negative
2014-05-12 12:52:31+00:00,narendramodi,The biggest joy of 2014 Elections has been the increased turnout. Braving the scorching heat &amp; the rain people turned out in large numbers.,the biggest joy of 2014 elections has been the increased turnout braving the scorching heat amp the rain people turned out in large numbers,biggest joy 2014 election increased turnout braving scorching heat amp rain people turned large number,0.5071428571428571,positive
2014-05-12 12:51:34+00:00,narendramodi,I congratulate the EC &amp; the entire election &amp; security staff for their continuous efforts during the entire Election.,i congratulate the ec amp the entire election amp security staff for their continuous efforts during the entire election,congratulate ec amp entire election amp security staff continuous effort entire election,0.0,Positive
2014-05-12 12:50:49+00:00,narendramodi,India has voted! Congratulations to the people of India on the successful completion of 2014 Lok Sabha elections http://t.co/uTexNQPMn1,india has voted congratulations to the people of india on the successful completion of 2014 lok sabha elections,india voted congratulation people india successful completion 2014 lok sabha election,0.75,Positive
2014-05-12 11:08:43+00:00,narendramodi,Met Shri PA Sangma http://t.co/bANMwXRqZm,also Shri Pa Sangma,also Shri Pa Sangma,0.0,Neutral
2014-05-12 11:04:45+00:00,narendramodi,This is curtain raiser for 16th May. Both states will give massive mandate for the TDP-BJP alliance in Parliament &amp; Assembly elections @ncbn,this is curtain raiser for 16th may both states will give massive mandate for the tdpbjp alliance in parliament amp assembly elections,curtain raiser 16th may state give massive mandate tdpbjp alliance parliament amp assembly election,0.0,positive
2014-05-12 11:04:11+00:00,narendramodi,Congratulations to the people of Seemandhra &amp; Telangana for giving favourable results today in municipal elections for the TDP &amp; BJP.,congratulations to the people of seemandhra amp telangana for giving favourable results today in municipal elections for the tdp amp bjp,congratulation people seemandhra amp telangana giving favourable result today municipal election tdp amp bjp,0.0,Positive
2014-05-12 06:00:57+00:00,narendramodi,All those voting in today's phase- Have you voted? If not please go to the polling booth! Sharing my video message http://t.co/ZNxmuFfdxw,all those voting in today's phase have you vote if not please go to the polling booth sharing my video message,voting today phase vote please go polling booth sharing video message,0.0,Neutral
2014-05-12 06:00:01+00:00,narendramodi,Met Chhattisgarh CM @drramansingh in Gandhinagar http://t.co/XBdCiOpglS,Met Chhattisgarh Come In Gandhinagar,Met Chhattisgarh Come In Gandhinagar,0.0,Neutral
2014-05-12 01:45:46+00:00,narendramodi,My special request to the youth - go out &amp; vote and take your family and friends along to the polling booth!,my special request to the youth  go out amp vote and take your family and friends along to the polling booth,special request youth go amp vote take family friend along polling booth,0.3571428571428571,Neutral
2014-05-11 14:24:31+00:00,narendramodi,The legal fraternity has lost a strong pillar in Shri Tarakant Jha. He will also be remembered for his passion towards Maithili language.,the legal fraternity has lost a strong pillar in shri tarakant jha he will also be remembered for his passion towards maithili language,legal fraternity lost strong pillar shri tarakant jha also remembered passion towards maithili language,0.3166666666666666,Negative
2014-05-11 14:23:34+00:00,narendramodi,In Shri Tarakant Jha we lost a dedicated leader who played an instrumental role in building the BJP. May his soul rest in peace.,in shri tarakant jha we lost a dedicated leader who played an instrumental role in building the bjp may his soul rest in peace,shri tarakant jha lost dedicated leader played instrumental role building bjp may soul rest peace,0.0,Negative
2014-05-11 05:05:04+00:00,narendramodi,Also sharing my speech at International Conference on Defence Offsets during last year's Vibrant Gujarat Summit http://t.co/0TfLvZRHEh,also sharing my speech at international conference on defence offsets during last years vibrant gujarat summit,also sharing speech international conference defence offset last year vibrant gujarat summit,0.0555555555555555,Neutral
2014-05-11 05:04:13+00:00,narendramodi,Our Scientists are our strength and will help shape our future in this Knowledge Era with both Defence and Civilian Impact.,our scientists are our strength and will help shape our future in this knowledge era with both defence and civilian impact,scientist strength help shape future knowledge era defence civilian impact,0.0,Positive
2014-05-11 05:03:47+00:00,narendramodi,"Today, we should think on how India can become self-sufficient in defence manufacturing. How can we strengthen R&amp;D in defence sector.",today we should think on how india can become selfsufficient in defence manufacturing how can we strengthen rampd in defence sector,today think india become selfsufficient defence manufacturing strengthen rampd defence sector,0.0,Positive
2014-05-11 05:02:50+00:00,narendramodi,NDA's foreign policy also ensured that those nations opposed to India testing gradually developed strong ties with India in various fields.,ndas foreign policy also ensured that those nations opposed to india testing gradually developed strong ties with india in various fields,ndas foreign policy also ensured nation opposed india testing gradually developed strong tie india various field,0.1020833333333333,Positive
2014-05-11 05:02:28+00:00,narendramodi,Tests of 1998 were a victory of technology &amp; the nation's willpower. Our scientists worked very hard to develop Nuclear Programme.,tests of 1998 were a victory of technology amp the nations willpower our scientists worked very hard to develop nuclear programme,test 1998 victory technology amp nation willpower scientist worked hard develop nuclear programme,-0.2916666666666667,Positive
2014-05-11 05:01:48+00:00,narendramodi,Sharing my last year's Blog that contains portions of Atal ji's historic speech of 1998 http://t.co/K6ak4zPXC4,sharing my last years blog that contains portions of atal jis historic speech of 1998,sharing last year blog contains portion atal ji historic speech 1998,0.0,Positive
2014-05-11 05:01:31+00:00,narendramodi,"Under Atal ji, India scripted a new chapter in our history &amp; gave a strong message to the world with the success of the Tests in Pokhran.",under atal ji india scripted a new chapter in our history amp gave a strong message to the world with the success of the tests in pokhran,atal ji india scripted new chapter history amp gave strong message world success test pokhran,0.2898989898989899,Positive
2014-05-11 05:01:11+00:00,narendramodi,"My greetings to the nation &amp; the scientist community on National Technology Day, marking the anniversary of the Pokhran Tests of 1998.",my greetings to the nation amp the scientist community on national technology day marking the anniversary of the pokhran tests of 1998,greeting nation amp scientist community national technology day marking anniversary pokhran test 1998,0.0,Positive
2014-05-10 15:13:02+00:00,narendramodi,There is something in India's soil that makes India special. Our destined role of Jagat Guru calls. Lets create a strong &amp; developed India!,there is something in indias soil that makes india special our destined role of jagat guru calls lets create a strong amp developed india,something india soil make india special destined role jagat guru call let create strong amp developed india,0.2968253968253968,Positive
2014-05-10 15:12:19+00:00,narendramodi,I am overwhelmed by people's response! I assure them we will repay their affection with unprecedented development.,i am overwhelmed by peoples response i assure them we will repay their affection with unprecedented development,overwhelmed people response assure repay affection unprecedented development,0.6,Positive
2014-05-10 15:11:45+00:00,narendramodi,"8 months, 5800+ rallies, Charchas, programmes, 3 lakh+ KMs…an extensive, innovative &amp; satisfying journey. My blog http://t.co/6MLdibQpNB",8 months 5800 rallies charchas programmes 3 lakh kmsan extensive innovative amp satisfying journey my blog,8 month 5800 rally charchas programme 3 lakh kmsan extensive innovative amp satisfying journey blog,0.3333333333333333,Positive
2014-05-10 12:18:10+00:00,narendramodi,Give BJP all seats from UP &amp; give us the opportunity to take UP &amp; India's development journey to newer heights http://t.co/Rc2xG9e4De,give bjp all seats from up amp give us the opportunity to take up amp indias development journey to newer heights,give bjp seat amp give u opportunity take amp india development journey newer height,0.0,Positive
2014-05-10 12:16:32+00:00,narendramodi,UP has won me over! I have received tremendous affection from people of UP during the entire campaign. My gratitude to the people of UP.,up has won me over i have received tremendous affection from people of up during the entire campaign my gratitude to the people of up,received tremendous affection people entire campaign gratitude people,0.1666666666666666,Positive
2014-05-10 12:15:34+00:00,narendramodi,Another picture from Robertsganj http://t.co/KGNF4ecA8N,another picture from robertsganj,another picture robertsganj,0.0,Neutral
2014-05-10 12:14:53+00:00,narendramodi,Here is a glimpse of the rally in Robertsganj in UP earlier in the day http://t.co/kxIq8Al99K http://t.co/JxoPcpkHDh,here is a glimpse of the rally in robertsganj in up earlier in the day,glimpse rally robertsganj earlier day,0.0,Neutral
